gene,LR_stat,pvalue,padj
ENSG00000070756,185.86192205519615,2.5446921632403418e-42,4.265900955304247e-40
ENSG00000198742,185.6446370354194,2.8383728170844585e-42,4.733823628575424e-40
ENSG00000255760,185.44578752759236,3.136745871460633e-42,5.204757613859321e-40
ENSG00000102760,185.1827682529759,3.5801251233975513e-42,5.910295901681988e-40
ENSG00000170581,184.91770248908196,4.090385797448756e-42,6.6978632629057185e-40
ENSG00000158201,184.91381883957007,4.0983789106396836e-42,6.6978632629057185e-40
ENSG00000204439,184.69060930746497,4.585017043623197e-42,7.45569621463568e-40
ENSG00000010030,184.00698313883942,6.465248719940551e-42,1.0460836759696846e-39
ENSG00000111859,183.83765685868303,7.039661374011e-42,1.133385481215771e-39
ENSG00000117475,183.7490260705171,7.360398115349733e-42,1.17918653944534e-39
ENSG00000168062,183.73489575039744,7.412866651486446e-42,1.1817708296060893e-39
ENSG00000169375,182.60088206948893,1.3108838825003978e-41,2.0796373476428262e-39
ENSG00000127084,182.0882597550564,1.6962219882874747e-41,2.6778898787905464e-39
ENSG00000165732,181.7471041289481,2.0135691823804546e-41,3.1635409154288476e-39
ENSG00000172123,181.6416695721507,2.1231761929435216e-41,3.3197084686014045e-39
ENSG00000196141,181.49680599710874,2.283569074208984e-41,3.5534082981542865e-39
ENSG00000197111,181.39990503891372,2.3975664339563733e-41,3.7130312173871035e-39
ENSG00000002919,181.1646159770189,2.6986206066698564e-41,4.1594568421856436e-39
ENSG00000135070,180.3335936329064,4.09811044331853e-41,6.286733388566284e-39
ENSG00000155363,180.28409810759416,4.2013652537409767e-41,6.414873276157937e-39
ENSG00000186660,179.82776320231676,5.284777347673239e-41,8.031379855188275e-39
ENSG00000173221,179.75736895148808,5.47515869377577e-41,8.282005164603516e-39
ENSG00000127526,179.72519092362361,5.564453723754075e-41,8.37810944462639e-39
ENSG00000186480,179.41363711859938,6.508010603665058e-41,9.7536184724606e-39
ENSG00000165029,179.19626999026877,7.259543450032217e-41,1.0830040003759073e-38
ENSG00000225101,178.26684594813807,1.1583720544486192e-40,1.7202089477067577e-38
ENSG00000087502,178.0449557623482,1.2950854145609434e-40,1.9144894478341365e-38
ENSG00000175538,177.78007023885627,1.4795762006112345e-40,2.177320235125727e-38
ENSG00000282851,177.45476938303426,1.7424842521723365e-40,2.5526609391508437e-38
ENSG00000158793,177.35061339138247,1.8361668410837113e-40,2.677839372454012e-38
ENSG00000107371,177.00757689988313,2.1818122200525833e-40,3.1677186169888446e-38
ENSG00000148925,176.92321757221544,2.2763452994177714e-40,3.290280081229545e-38
ENSG00000163166,175.84105904116177,3.922323896447986e-40,5.644328219481478e-38
ENSG00000116337,175.7290651379925,4.149535036697687e-40,5.94498583539569e-38
ENSG00000153914,175.6623627275986,4.2910661234797166e-40,6.12079177490383e-38
ENSG00000150681,175.65346525714043,4.310306419408904e-40,6.121388007511632e-38
ENSG00000188554,175.33585525704126,5.056673548810348e-40,7.150136398017832e-38
ENSG00000182557,175.2522302362727,5.2738321262675975e-40,7.424916381405836e-38
ENSG00000172232,175.19608875605482,5.42482921435516e-40,7.604581711605971e-38
ENSG00000206337,174.53915397390654,7.548216381773237e-40,1.0535755071589237e-37
ENSG00000102710,174.43330898473025,7.96083355943031e-40,1.1064197821358657e-37
ENSG00000100300,173.64754069181842,1.1818310513805483e-39,1.6355535937446039e-37
ENSG00000137767,172.87797446690746,1.7402764357250544e-39,2.39818941706145e-37
ENSG00000118564,172.8060827190265,1.8043410853997286e-39,2.475982311365822e-37
ENSG00000265972,172.38521704388998,2.2296258756959008e-39,3.0467181819068102e-37
ENSG00000184007,171.86666576817746,2.8938816730964007e-39,3.937858567884567e-37
ENSG00000094975,171.73070585923966,3.098660472332257e-39,4.198943161716236e-37
ENSG00000104325,171.22632348689405,3.9932886444013095e-39,5.388785613826531e-37
ENSG00000272398,170.78768515581663,4.978866307321324e-39,6.691020249863805e-37
ENSG00000013374,170.75899643613684,5.051219080383541e-39,6.760318803795618e-37
ENSG00000117091,170.56466257999773,5.5698014840361303e-39,7.423814912451764e-37
ENSG00000164821,170.5016891336283,5.74901576405713e-39,7.631407782802694e-37
ENSG00000170633,170.44797973331572,5.906415313928379e-39,7.808473123560112e-37
ENSG00000158373,170.27970014640604,6.428023753207874e-39,8.46365135634925e-37
ENSG00000068394,170.2471852507603,6.533997855799437e-39,8.56849509138344e-37
ENSG00000066136,170.01038867551773,7.360333581790931e-39,9.613364206707014e-37
ENSG00000114120,169.92284445273523,7.691624083035837e-39,1.000587993713966e-36
ENSG00000259268,169.35121779976745,1.0253415121724031e-38,1.3285321378036213e-36
ENSG00000186812,168.8216024245414,1.3382750892320021e-38,1.7271183512699672e-36
ENSG00000170876,168.64848214701607,1.460017998488818e-38,1.876786772602899e-36
ENSG00000164117,168.52657291168967,1.5523358155378168e-38,1.987600999721294e-36
ENSG00000110046,168.5176635398103,1.5593071520882874e-38,1.9886975372633443e-36
ENSG00000100802,167.83885787417836,2.193808824530285e-38,2.7869941637255438e-36
ENSG00000174718,167.8092787143948,2.2266893982761516e-38,2.8177584673438523e-36
ENSG00000240247,167.22065818772128,2.993857577512197e-38,3.773885121544639e-36
ENSG00000231607,167.07627176728917,3.219360755239637e-38,4.042472991579285e-36
ENSG00000204131,167.03876217132716,3.2806729683605293e-38,4.1036171645008126e-36
ENSG00000143376,166.61938904868074,4.0510552217696537e-38,5.047832104306233e-36
ENSG00000124102,166.1854906830924,5.039037654821964e-38,6.254945901149615e-36
ENSG00000270972,165.920597087075,5.757194028697961e-38,7.119219171152665e-36
ENSG00000075292,165.715738995472,6.382052395992751e-38,7.86201166751804e-36
ENSG00000183474,165.65651801873508,6.575014909006552e-38,8.069156032857022e-36
ENSG00000025796,165.4872069991692,7.159482126190294e-38,8.753408936389502e-36
ENSG00000146425,165.44520782026353,7.312335094466926e-38,8.906807563380276e-36
ENSG00000243646,165.17677795038546,8.369381205418977e-38,1.0156306550844626e-35
ENSG00000173821,165.03641530219977,8.981629663891607e-38,1.0858756874687093e-35
ENSG00000167604,164.91820441469562,9.531869168080057e-38,1.1481312929048134e-35
