gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol,significant,direction
124641,376.40474324897207,0.02879017236404785,0.1251147982558125,0.2528214228976885,0.8004062123002825,0.901142760202557,OVCA2,False,up
3090,1419.1035660338978,-0.11309552876543752,0.10165209031809522,-1.1940105105509247,0.2324738566517256,0.43548133003935174,HIC1,False,down
23293,1652.7127529038362,-0.2608508282600083,0.09645607585836886,-2.857692516378459,0.004267336850539203,0.02002142509827248,SMG6,False,down
107984988,13.278700400768411,-0.1806397433815644,0.48224011138866,-1.1385504026608853,0.2548907250304203,0.46269869851590983,LOC107984988,False,down
63826,560.735409624486,-0.00691081616039835,0.11621130125440496,-0.06623038036111682,0.947194409836572,0.9764067889816123,SRR,False,down
55720,1436.2679343319326,0.11030923790079382,0.11015080314036302,1.0896075949173187,0.27588603607243833,0.4865737995139436,TSR1,False,up
9905,1936.173930709791,-0.17272674730960835,0.09567499130905521,-1.916942339602639,0.055245257358614144,0.15622478335202789,SGSM2,False,down
101927864,241.33264580537758,-0.21800514712220564,0.14602535142350906,-1.6993953224680223,0.08924472271713714,0.22391674901112368,LOC101927864,False,down
4335,1116.7122875134164,0.1531755337536883,0.11212371146016693,1.477180134449804,0.13962735741061216,0.3096108296812584,MNT,False,up
79066,834.1062058521629,-0.24219999385298835,0.11589765131093684,-2.262002931267024,0.023697222192839328,0.08070813411530409,METTL16,False,down
5048,5072.593462203624,0.10921523267875345,0.08727394389972754,1.3140476366897063,0.1888301738984377,0.3800179707381978,PAFAH1B1,False,up
23277,1140.7392313615535,0.4162787261230845,0.10933092992430163,4.035568109710365,5.447033478875722e-05,0.00043817624258474616,CLUH,False,up
23108,52.30308147041926,0.20646141287389766,0.283942423513661,1.1535913535329743,0.24866774489918797,0.4554771236487144,RAP1GAP2,False,up
84690,10.4177444205115,0.11332217195184488,0.3614488097434771,0.8114898640719221,0.4170844113376265,0.6297894276256386,SPATA22,False,up
443,414.7092600934809,0.19840294313391266,0.15014342753229745,1.512697041511887,0.13035663142570092,0.29477655987925316,ASPA,False,up
162514,42.836456129272456,0.10664964572624727,0.25230035937090733,0.6310668426138454,0.5279968200768823,0.7206109959536274,TRPV3,False,up
7442,181.35457086126598,0.18213025064421717,0.164411970544562,1.3134864694200765,0.1890190772933681,0.38022067017479816,TRPV1,False,up
23729,339.21704425713904,0.20344393621329732,0.1398739155493124,1.6414072270300109,0.1007129106897502,0.24547704503478263,SHPK,False,up
1497,840.3473591993045,-0.016788178780247152,0.10389841673156729,-0.17489562961947888,0.861161644405628,0.9337642953013873,CTNS,False,down
