,cluster,membership
ENSG00000083223,0,0.9999177532300167
ENSG00000104320,5,0.9985668475864474
ENSG00000059769,4,0.9999845117929985
ENSG00000263069,0,0.9999367332088939
ENSG00000249437,5,0.9813279218280022
ENSG00000273133,0,0.9999999973796874
ENSG00000105220,1,0.9791746263582854
ENSG00000101220,1,0.993302289483462
ENSG00000104812,1,0.9999999981084609
ENSG00000012223,2,0.9999962970934769
ENSG00000106785,0,0.9999005934883454
ENSG00000129007,0,0.9999999997464395
ENSG00000225342,0,0.9999124596478175
ENSG00000279320,0,0.9999952262619141
ENSG00000116273,4,0.9999607585749889
ENSG00000243364,0,0.7251750684836491
ENSG00000198911,4,0.999999993708721
